iter	Logloss
0	0.6754249944
1	0.6594880308
2	0.6435347793
3	0.6289431028
4	0.6164368304
5	0.603911896
6	0.5926402621
7	0.5826104488
8	0.5723518995
9	0.5633838722
10	0.5549163018
11	0.5466219578
12	0.5389704833
13	0.5314315759
14	0.5248260345
15	0.5185885931
16	0.513155072
17	0.5073225858
18	0.5017792365
19	0.4972297985
20	0.4929696761
21	0.4885526688
22	0.4843151707
23	0.4798298423
24	0.4764048386
25	0.4727566557
26	0.4694026096
27	0.4665379426
28	0.4633344213
29	0.4604552468
30	0.457763379
31	0.4549262125
32	0.4523518278
33	0.4500065041
34	0.4480101733
35	0.4462146954
36	0.4439140893
37	0.4416030999
38	0.4395950886
39	0.4377994229
40	0.4365053467
41	0.4348668901
42	0.433450636
43	0.4317758001
44	0.4302410142
45	0.4288027476
46	0.4275911353
47	0.4262098942
48	0.4250291658
49	0.4238530735
50	0.4228548319
51	0.4216990029
52	0.4209155361
53	0.4196704478
54	0.4188579652
55	0.4177933782
56	0.4167674134
57	0.4160518458
58	0.4151461336
59	0.4144237236
60	0.4134625247
61	0.4124873238
62	0.4117977138
63	0.4109064569
64	0.4101017403
65	0.4091865419
66	0.4084439687
67	0.4077533495
68	0.4071414634
69	0.4063834279
70	0.4056437193
71	0.4049103831
72	0.4042108622
73	0.4037646302
74	0.403109348
75	0.4025523573
76	0.4020538389
77	0.4013526734
78	0.4008409631
79	0.4004411389
80	0.3999263553
81	0.399376446
82	0.3987921148
83	0.3982320827
84	0.3978368337
85	0.3972929057
86	0.3968706393
87	0.3963748413
88	0.3959198029
89	0.395422147
90	0.3949173703
91	0.394420405
92	0.3939567405
93	0.3934401607
94	0.3929336393
95	0.3925273481
96	0.3921081975
97	0.3917593734
98	0.3912974222
99	0.3908951672
100	0.3904625382
101	0.3901233743
102	0.3897095976
103	0.3893352109
104	0.3890051327
105	0.3884860063
106	0.3881506883
107	0.3878424815
108	0.3875494109
109	0.3871435052
110	0.3868320122
111	0.3863494395
112	0.3859238804
113	0.3853817489
114	0.3849049758
115	0.3845673791
116	0.3841511855
117	0.383832111
118	0.3835065375
119	0.383188669
120	0.3829192395
121	0.3825478352
122	0.3822657209
123	0.3818978162
124	0.3816326919
125	0.3811816771
126	0.3808097868
127	0.3804881493
128	0.3801517474
129	0.3798797882
130	0.3795605944
131	0.3793059876
132	0.3789837211
133	0.378689039
134	0.3783775161
135	0.3780405182
136	0.3776043279
137	0.3773987867
138	0.3771363835
139	0.3768976714
140	0.37668673
141	0.3764687184
142	0.3761878602
143	0.37590649
144	0.3756961816
145	0.37534871
146	0.3751336869
147	0.3749234914
148	0.3747223057
149	0.3742872264
150	0.3740640275
151	0.3737341373
152	0.3735084493
153	0.3732936445
154	0.3728710555
155	0.3726904856
156	0.3724455984
157	0.372216116
158	0.3719576053
159	0.3717461115
160	0.3714007373
161	0.3712171085
162	0.3708931569
163	0.3706876431
164	0.3704138552
165	0.3701645324
166	0.369789014
