iter	Passed	Remaining
0	12	6565
1	17	4575
2	23	4033
3	33	4256
4	41	4236
5	59	4999
6	66	4812
7	72	4579
8	80	4506
9	94	4762
10	101	4637
11	107	4465
12	111	4269
13	117	4171
14	121	4038
15	126	3916
16	131	3816
17	136	3738
18	140	3657
19	146	3594
20	150	3516
21	154	3447
22	159	3391
23	164	3347
24	171	3347
25	179	3349
26	186	3354
27	191	3313
28	202	3374
29	217	3501
30	225	3504
31	234	3511
32	239	3477
33	244	3439
34	249	3397
35	253	3346
36	256	3297
37	260	3253
38	266	3236
39	271	3200
40	278	3195
41	286	3208
42	292	3190
43	297	3159
44	301	3130
45	306	3107
46	311	3084
47	316	3055
48	320	3028
49	325	3009
50	330	2988
51	334	2955
52	338	2934
53	342	2903
54	345	2873
55	349	2843
56	354	2828
57	357	2799
58	361	2777
59	365	2755
60	369	2732
61	372	2706
62	376	2683
63	379	2659
64	383	2640
65	386	2614
66	389	2588
67	394	2575
68	397	2551
69	401	2534
70	404	2514
71	408	2494
72	411	2473
73	414	2453
74	418	2436
75	421	2418
76	424	2399
77	428	2383
78	431	2364
79	434	2345
80	437	2327
81	441	2312
82	443	2294
83	447	2278
84	449	2260
85	452	2242
86	456	2227
87	460	2219
88	464	2207
89	467	2193
90	471	2179
91	473	2163
92	476	2148
93	479	2133
94	482	2120
95	486	2106
96	488	2091
97	492	2078
98	495	2065
99	498	2052
100	501	2038
101	504	2027
102	507	2013
103	510	2004
104	514	1993
105	517	1982
106	520	1970
107	523	1957
108	526	1945
109	529	1935
110	532	1923
111	536	1914
112	539	1903
113	542	1892
114	544	1881
115	548	1870
116	551	1861
117	553	1849
118	557	1840
119	560	1829
120	563	1819
121	565	1808
122	571	1807
123	574	1798
124	578	1789
125	580	1779
126	584	1771
127	586	1760
128	590	1753
129	593	1743
130	595	1733
131	598	1724
132	602	1715
133	604	1706
134	608	1698
135	611	1689
136	614	1681
137	617	1672
138	619	1663
139	622	1654
140	626	1647
141	629	1639
